ANGLE;SPEED_X;SPEED_Y;TRACK_-45;TRACK_-20;TRACK_0;TRACK_20;TRACK_45;TRACK_POS;CLASS
0.0576025;85.1821;0.0160134;11.3703;26.3224;129.166;18.7995;9.95946;-0.00851262;1;
0.0576632;85.5065;0.0215231;11.4161;26.4319;128.511;18.7212;9.91884;-0.0125032;1;
0.0570009;85.9716;-0.022417;11.4528;26.4781;129.474;18.6739;9.88441;-0.0165114;1;
0.056892;86.3038;-0.0205835;11.4966;26.573;129.193;18.6024;9.84503;-0.0205246;1;
0.0562478;86.7574;-0.0536027;11.5336;26.6207;130.134;18.5538;9.81025;-0.0245463;1;
0.0560486;87.0929;-0.0512339;11.5763;26.7075;130.058;18.486;9.77156;-0.0285659;1;
0.0555575;87.5795;-0.0692146;11.6152;26.7683;130.663;18.4305;9.73538;-0.0325883;1;
0.0552869;87.9212;-0.0702352;11.6568;26.8485;130.757;18.3656;9.69728;-0.0366072;1;
0.0550926;88.399;-0.0652463;11.6995;26.9353;130.67;18.2972;9.65849;-0.0406277;1;
0.0549954;88.7381;-0.0557093;11.7434;27.0307;130.352;18.2247;9.61887;-0.0446467;1;
0.0550579;89.2061;-0.0365034;11.7895;27.1404;129.655;18.1453;9.5778;-0.0486724;1;
0.0552223;89.5115;-0.0134464;11.837;27.2596;128.722;18.0614;9.5358;-0.0527042;1;
0.0553666;90.0181;0.00384768;11.8844;27.3774;127.839;17.9782;9.49385;-0.0567497;2;
0.0555991;90.338;0.076128;11.9329;27.5032;126.759;17.8915;9.45121;-0.0607908;2;
0.0548829;90.856;0.0880845;11.9685;27.542;127.863;17.8449;9.41688;-0.0648022;2;
0.0540569;91.1741;0.152102;12.0018;27.5689;129.267;17.804;9.3841;-0.068748;2;
0.0518252;91.6442;0.10592;12.0151;27.4664;134.272;17.8238;9.36412;-0.0725942;2;
0.0494234;92.0032;0.146959;12.0246;27.3468;140.23;17.8539;9.34703;-0.0762936;2;
0.046052;92.459;0.0628674;12.0192;27.1402;149.914;17.9296;9.34001;-0.0798103;1;
0.0435069;92.8413;-0.161532;12.0239;27.0068;158.085;17.9724;9.32681;-0.0832471;1;
0.0422128;93.2785;-0.212799;12.0447;26.9811;162.323;17.9618;9.30318;-0.086655;1;
0.0410887;93.7559;-0.244467;12.0673;26.9689;166.147;17.9445;9.27852;-0.0900177;1;
0.0406821;94.1638;-0.203503;12.0986;27.0164;167.196;17.8969;9.24818;-0.0933324;1;
0.03998;94.623;-0.20631;12.1256;27.0376;169.517;17.8629;9.2208;-0.0966019;1;
0.0396655;94.96;-0.168716;12.1571;27.0905;170.25;17.8127;9.19053;-0.0998296;1;
0.0393803;95.4812;-0.1485;12.1887;27.145;170.873;17.7618;9.1603;-0.103027;1;
0.0391979;95.841;-0.123402;12.2213;27.2075;171.061;17.7069;9.12947;-0.106196;1;
0.0391646;96.3024;-0.0929873;12.2557;27.2823;170.603;17.6459;9.09752;-0.109351;1;
0.0393036;96.7417;-0.0575716;12.2923;27.3715;169.399;17.5776;9.06425;-0.112494;1;
0.03931;97.126;-0.0420144;12.3271;27.4494;168.772;17.5151;9.03209;-0.115638;1;
0.0396049;97.6007;-0.00440979;12.3658;27.5522;166.92;17.4402;8.99751;-0.118784;1;
0.039848;97.9286;0.0162868;12.404;27.651;165.308;17.3674;8.96325;-0.121942;1;
0.0399615;98.4442;0.02857;12.4406;27.739;164.243;17.2999;8.92994;-0.125114;1;
0.0403763;98.7987;0.059197;12.4815;27.8539;161.963;17.2193;8.89396;-0.128305;1;
0.0401173;99.3058;0.0273436;12.5135;27.9105;162.408;17.1667;8.8633;-0.131518;1;
0.0402134;99.6711;0.0356844;12.5505;27.9986;161.417;17.0988;8.82953;-0.13475;1;
0.039984;100.107;0.00461158;12.5834;28.0586;161.733;17.0442;8.79824;-0.137999;1;
0.0396607;100.606;-0.0166389;12.615;28.1106;162.434;16.9931;8.76757;-0.14126;1;
0.0397185;101.017;-0.0043962;12.6519;28.1962;161.58;16.926;8.73372;-0.14453;1;
0.0392826;101.467;-0.0383601;12.6822;28.2384;162.746;16.8791;8.70377;-0.147807;1;
0.0390629;101.842;-0.0409381;12.7154;28.2997;163.031;16.8232;8.67204;-0.151086;1;
0.0388538;102.319;-0.0471411;12.7487;28.3618;163.275;16.7668;8.64021;-0.154365;1;
0.0383232;102.808;-0.077759;12.7776;28.3953;164.893;16.7235;8.61097;-0.157641;1;
0.0381268;103.178;-0.0707127;12.811;28.4581;165.099;16.6667;8.5791;-0.160911;1;
0.0377184;103.68;-0.088169;12.8413;28.5019;166.237;16.6185;8.54898;-0.164174;1;
0.0372979;104.103;-0.104052;12.8713;28.5442;167.456;16.5709;8.51903;-0.167427;1;
0.0371385;104.507;-0.0884355;12.9049;28.6093;167.519;16.5128;8.4871;-0.17067;1;
0.0369829;105.025;-0.0827672;12.9384;28.6745;167.568;16.4548;8.45523;-0.173903;2;
0.0367787;105.37;-0.0243977;12.9708;28.7346;167.845;16.3992;8.42406;-0.177105;2;
0.0362202;105.854;0.0155269;12.9977;28.7617;169.779;16.359;8.39618;-0.180254;2;
0.035179;106.328;0.0748775;13.0167;28.7434;174.153;16.3401;8.3731;-0.183299;2;
0.0334811;106.679;0.092973;13.0251;28.6645;182.325;16.3503;8.35635;-0.186224;2;
0.0310417;106.82;0.0833005;13.0213;28.5178;195.986;16.3947;8.34726;-0.188966;2;
0.0276904;106.757;0.0798614;13.0024;28.29;200.0;16.4824;8.34785;-0.191468;2;
0.0235966;106.698;0.0258081;12.9706;27.9986;200.0;16.6092;8.35739;-0.193686;2;
0.0184468;106.635;-0.0556147;12.9213;27.6212;200.0;16.7922;8.37934;-0.19555;1;
0.0141744;106.582;-0.424138;12.8819;27.3189;200.0;16.9465;8.39706;-0.197176;1;
0.0118334;106.526;-0.534315;12.8674;27.1713;200.0;17.0189;8.40012;-0.198713;1;
0.0105272;106.473;-0.527129;12.8654;27.1023;200.0;17.048;8.39607;-0.200122;1;
0.0100993;106.647;-0.430475;12.8735;27.0983;200.0;17.0401;8.38614;-0.201403;1;
0.00950797;106.963;-0.379601;12.8783;27.0795;200.0;17.0418;8.3786;-0.202583;1;
0.00929394;107.196;-0.301862;12.8873;27.0878;200.0;17.0281;8.36884;-0.20368;1;
0.00932871;107.53;-0.225037;12.8987;27.1135;200.0;17.0045;8.35776;-0.204706;1;
0.00919052;107.831;-0.180938;12.9073;27.1248;200.0;16.99;8.34866;-0.20568;1;
0.00921355;108.07;-0.130156;12.9176;27.1477;200.0;16.9689;8.33865;-0.206615;1;
0.00938102;108.343;-0.0891428;12.9287;27.1791;200.0;16.9437;8.32862;-0.207439;1;
0.00925247;108.641;-0.0781688;12.9356;27.1874;200.0;16.9323;8.32117;-0.208247;1;
0.00945907;108.916;-0.0391819;12.9469;27.2212;200.0;16.9059;8.31111;-0.209044;1;
0.00942793;109.142;-0.0374329;12.9549;27.2366;200.0;16.8904;8.30307;-0.209834;1;
0.00943435;109.369;-0.0230076;12.9634;27.2548;200.0;16.8734;8.29476;-0.210619;2;
0.0095647;109.633;-0.00926665;12.9735;27.2824;200.0;16.8508;8.28548;-0.211402;2;
0.00914806;109.961;0.0040783;12.9762;27.2674;200.0;16.8533;8.28088;-0.212161;2;
0.00864293;110.206;0.0589086;12.9771;27.2444;200.0;16.8609;8.27755;-0.21287;2;
0.00739449;110.449;0.0423092;12.9673;27.1627;200.0;16.904;8.28118;-0.213491;2;
0.00534915;110.675;0.0561473;12.9456;27.0183;200.0;16.9869;8.29277;-0.213979;1;
0.00297449;111.009;0.0303703;12.9182;26.8476;200.0;17.0894;8.30881;-0.214311;1;
5.98782E-4;111.274;-0.202522;12.8898;26.6769;200.0;17.1958;8.32613;-0.214535;1;
-6.69097E-4;111.504;-0.274892;12.8754;26.5881;200.0;17.2518;8.33476;-0.214717;1;
-0.00142487;111.77;-0.293661;12.8671;26.536;200.0;17.2849;8.3397;-0.214847;1;
-0.00204413;112.031;-0.2844;12.8599;26.4926;200.0;17.313;8.34415;-0.214916;1;
-0.00217671;112.328;-0.229886;12.8583;26.4834;200.0;17.319;8.34509;-0.214932;1;
-0.00242656;112.575;-0.207422;12.8548;26.4646;200.0;17.3317;8.34752;-0.2149;1;
-0.00258745;112.8;-0.169027;12.852;26.4515;200.0;17.341;8.34963;-0.214829;1;
-0.00255888;113.122;-0.131263;12.8513;26.4513;200.0;17.3419;8.35049;-0.214725;1;
-0.00277572;113.393;-0.125865;12.8471;26.4328;200.0;17.3552;8.3537;-0.214594;1;
-0.00278732;113.63;-0.0928507;12.8453;26.4286;200.0;17.3592;8.35544;-0.214441;1;
-0.00282732;113.899;-0.0809165;12.843;26.422;200.0;17.3649;8.35761;-0.214268;1;
-0.00305251;114.164;-0.0827705;12.8381;26.4017;200.0;17.3799;8.36151;-0.214079;1;
-0.0029928;114.461;-0.058105;12.8367;26.4016;200.0;17.3815;8.36317;-0.213876;1;
